Site,lat,lon
123,25.012,-80.926
133,25.061,-80.947
135,25.036,-80.924
145,25.072,-80.933
147,25.046,-80.91
158,25.083,-80.919
159,25.07,-80.907
169,25.081,-80.893
173,25.092,-80.879
174,25.128,-80.889
176,25.1,-80.866
224,25.09,-80.853
225,25.077,-80.842
226,25.064,-80.83
228,25.038,-80.806
229,25.026,-80.794
237,25.126,-80.863
239,25.1,-80.839
240,25.088,-80.828
242,25.062,-80.804
253,25.111,-80.825
254,25.098,-80.814
255,25.085,-80.802
256,25.074,-80.787
257,25.06,-80.778
258,25.047,-80.766
265,25.135,-80.823
267,25.109,-80.799
268,25.0965,-80.7877
269,25.083,-80.776
271,25.058,-80.752
278,25.145,-80.809
279,25.133,-80.797
280,25.12,-80.785
281,25.107,-80.774
282,25.094,-80.762
283,25.081,-80.75
290,25.131,-80.771
291,25.118,-80.76
292,25.105,-80.748
294,25.078,-80.728
